id	filename	md5	size	state
55ddaa57-1f27-44fd-8c96-26ee7c9a0256	5d89c93c-d9ec-4f9d-866c-bf1e1ae69c75.wxs.aliquot_ensemble_masked.maf.gz	4f25d620ef2ac5cfbbb50e0e35814a4d	38797	released
5a183f5a-256e-413b-8ac4-5b4d1a3467a4	61f2fc2a-a057-4d5b-aa2e-8628199a2fcd.wxs.aliquot_ensemble_masked.maf.gz	75943b03263666ac5c526f0e949ab7a7	14358	released
195785b2-2583-4a90-bbd0-80023a136182	2977c7ac-2aab-428d-81ef-ac1c9891d493.wxs.aliquot_ensemble_masked.maf.gz	49824c61cb73fa6d8479bbc812a52191	26405	released
1aa4ebb0-1f1e-4a08-9ead-edb257e2e9a9	18464b58-ed43-4ee4-a7b7-c666d34747a4.wxs.aliquot_ensemble_masked.maf.gz	079a81bb6cad40afc1d19eaa2738f575	36117	released
c8a46f8d-7b76-44f6-bcf7-20404fc5a9b4	5799a86e-bfc4-4121-9c5c-091263e6e809.wxs.aliquot_ensemble_masked.maf.gz	a320406ec9c4476372d3427c7bfbee09	2584	released
c60d9b8f-2c25-4203-8f27-a901a961b018	40a0c298-0a3f-40f8-9eb3-8c3d32af456d.wxs.aliquot_ensemble_masked.maf.gz	a19c7deb8f8d60250111913acc3c5331	47076	released
2ef9633d-5a87-4833-a33b-6b0062b75059	47922920-45ce-4bae-8479-4f58d3f6b88e.wxs.aliquot_ensemble_masked.maf.gz	323dc6e31aa414c9d5d003eeb2f33631	34519	released
d5b1c2d3-19ae-44f8-a01d-7cc3a87402bb	6f46785b-6d29-4421-9806-9d741b6f5cb3.wxs.aliquot_ensemble_masked.maf.gz	0a190b8022c28b6585bdcc962ae92243	21354	released
7837f512-39c2-4c7c-a338-43e51a54701c	TCGA.CHOL.muse.7837f512-39c2-4c7c-a338-43e51a54701c.DR-10.0.somatic.maf.gz	18440ef2d21feb668683c9014ee7d00b	940692	released
3e7ae664-c237-4332-bf2b-2df323a82f2e	TCGA.TGCT.somaticsniper.3e7ae664-c237-4332-bf2b-2df323a82f2e.DR-10.0.somatic.maf.gz	cb3890ee51ef8f973f4db72a5566b26e	459334	released
3f2602b5-01dc-49f0-8393-33a4ca2c64f2	TCGA.KICH.muse.3f2602b5-01dc-49f0-8393-33a4ca2c64f2.DR-10.0.somatic.maf.gz	37c6b92f7edd5d4c9672073e0127c302	575376	released
2b594d3d-9cf6-4ad5-8952-79a7dbdbd346	TCGA.KICH.varscan.2b594d3d-9cf6-4ad5-8952-79a7dbdbd346.DR-10.0.somatic.maf.gz	f6c61dbfcd0e59fc02c6d924f8085ab7	685308	released
fb7e6253-92ff-4d54-ab49-21671d85f5c1	435537a6-0f11-4a92-baf1-3f96be2e79f4.wxs.aliquot_ensemble_masked.maf.gz	d7b2e54da7b7e8e5edd20839825b3da6	59175	released
bada8f0e-85a6-4783-b009-a6b0fed9a752	857c583d-dd15-4547-a498-535e803a796a.wxs.aliquot_ensemble_masked.maf.gz	e450a241e9051f6a6870a187a4f16774	24928	released
a4d770c5-f631-49ef-822f-bb19dc3ed87c	fe6b8a1d-0bc2-45e6-a388-871e73fecdd4.wxs.aliquot_ensemble_masked.maf.gz	c2043e85c48d83ad83d1956ea7912e53	23071	released
cc5a4f29-7503-4bcd-9a24-2b52fd4910cb	89c8eb9a-50a3-4800-b4e3-59151b385441.wxs.aliquot_ensemble_masked.maf.gz	3e9ce297e683443bd2d80ae21e6a4d66	35739	released
eb441df2-f319-4bea-8740-8c039cce1474	b02c6806-26a2-4b96-81be-cf51f7e484bc.wxs.aliquot_ensemble_masked.maf.gz	38d7627fc2dec12be78c783359d20009	21589	released
4e21460a-d974-47d4-bcb6-c4e8aba56274	6e41105e-5073-4789-97dd-4e6d2b7dd88f.wxs.aliquot_ensemble_masked.maf.gz	7c34021d2ad50acc4286adb7ef854c96	31985	released
5ea99dc8-2e8b-4a8e-b7d1-b278bdc52ae7	fa652f05-a9ec-46f5-8530-02a54178f7b1.wxs.aliquot_ensemble_masked.maf.gz	da70ffb05b7e599523fc8ba02bb0a73c	37303	released
